acc,gc,gc3,TAA_1_a3,TAA_1_a6,TAA_1_t3,TAA_1_t6,TAG_1_a3,TAG_1_a6,TAG_1_t3,TAG_1_t6
AE000511,0.39662726626981054,0.4191618724517428,0.0867579908675799,0.0593607305936073,0.91324200913242,0.9406392694063926,0.18823529411764706,0.08235294117647059,0.8117647058823529,0.9176470588235294
AE007869,0.6034284547433684,0.7311585970083159,0.26153846153846155,0.13846153846153847,0.7384615384615385,0.8615384615384616,0.09210526315789473,0.10526315789473684,0.9078947368421053,0.8947368421052632
AE017143,0.38845757471659226,0.29391890480110655,0.09124767225325885,0.09683426443202979,0.9087523277467412,0.9031657355679702,0.3382899628252788,0.5650557620817844,0.6617100371747212,0.4349442379182156
AM236080,0.6210835555518882,0.7736507415282007,0.34146341463414637,0.0975609756097561,0.6585365853658537,0.9024390243902439,0.1095890410958904,0.1643835616438356,0.8904109589041096,0.8356164383561644
AP008957,0.6288871813681345,0.7473278722621476,0.47619047619047616,0.0,0.5238095238095238,1.0,0.32127659574468087,0.21914893617021278,0.6787234042553192,0.7808510638297872
AP012035,0.6833400460913468,0.8560904510936724,0.35714285714285715,0.25,0.6428571428571429,0.75,0.0967741935483871,0.12903225806451613,0.9032258064516129,0.8709677419354839
AP012337,0.6009152996065423,0.706536052781406,0.12318840579710146,0.06521739130434782,0.8768115942028986,0.9347826086956522,0.2928870292887029,0.2803347280334728,0.7071129707112971,0.7196652719665272
BA000039,0.5465170900150912,0.5816957384305783,0.03754266211604096,0.006825938566552901,0.962457337883959,0.9931740614334471,0.1891891891891892,0.25675675675675674,0.8108108108108109,0.7432432432432432
CP000115,0.6313379363704408,0.7755222363083699,0.18181818181818182,0.06060606060606061,0.8181818181818182,0.9393939393939394,0.03508771929824561,0.15789473684210525,0.9649122807017544,0.8421052631578947
CP000264,0.6280918241592904,0.7630262138802939,0.15217391304347827,0.17391304347826086,0.8478260869565217,0.8260869565217391,0.05263157894736842,0.1368421052631579,0.9473684210526315,0.8631578947368421
CP000453,0.6793603279536887,0.866247048766588,0.18181818181818182,0.3181818181818182,0.8181818181818182,0.6818181818181818,0.2777777777777778,0.4444444444444444,0.7222222222222222,0.5555555555555556
CP000667,0.6991731004097996,0.8620988770834117,0.3333333333333333,0.0,0.6666666666666666,1.0,0.16363636363636364,0.2,0.8363636363636363,0.8
CP000879,0.3425629417677404,0.2842026371876244,0.603071948261924,0.43411479385610346,0.396928051738076,0.5658852061438965,0.37392795883361923,0.33104631217838765,0.6260720411663808,0.6689536878216124
CP001099,0.5729078367821824,0.7168703734017206,0.12380952380952381,0.12380952380952381,0.8761904761904762,0.8761904761904762,0.15151515151515152,0.20202020202020202,0.8484848484848485,0.797979797979798
CP001322,0.5560082246510775,0.690717299127863,0.2250453720508167,0.2159709618874773,0.7749546279491834,0.7840290381125227,0.17490494296577946,0.23193916349809887,0.8250950570342205,0.7680608365019012
CP001673,0.43598163074204455,0.46096864312140023,0.2261904761904762,0.21164021164021163,0.7738095238095238,0.7883597883597884,0.4945652173913043,0.32065217391304346,0.5054347826086957,0.6793478260869565
CP001739,0.3476793783354113,0.27341819198343065,0.5675287356321839,0.49712643678160917,0.4324712643678161,0.5028735632183908,0.6550480769230769,0.44471153846153844,0.3449519230769231,0.5552884615384616
CP001848,0.5800964137038104,0.6538050270559269,0.11827956989247312,0.03225806451612903,0.8817204301075269,0.967741935483871,0.23426573426573427,0.13986013986013987,0.7657342657342657,0.8601398601398601
CP002021,0.6457878438149762,0.7999513502779985,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.23076923076923078,0.3076923076923077,0.7692307692307693,0.6923076923076923
CP002162,0.732749911403645,0.9384924020082392,0.5,0.5,0.5,0.5,0.2,0.4666666666666667,0.8,0.5333333333333333
CP002395,0.6014569432022895,0.7144570346508217,0.20987654320987653,0.2345679012345679,0.7901234567901234,0.7654320987654321,0.171875,0.296875,0.828125,0.703125
CP002545,0.37193939416007893,0.31756324018160537,0.2597560975609756,0.33963414634146344,0.7402439024390244,0.6603658536585366,0.42616033755274263,0.33860759493670883,0.5738396624472574,0.6613924050632911
CP002786,0.6262662941753714,0.7188198505063954,0.38461538461538464,0.02564102564102564,0.6153846153846154,0.9743589743589743,0.29692832764505117,0.27986348122866894,0.7030716723549488,0.7201365187713311
CP003156,0.4076936812836407,0.3673946520145311,0.32290708371665133,0.22171113155473782,0.6770929162833487,0.7782888684452622,0.6349431818181818,0.35795454545454547,0.3650568181818182,0.6420454545454546
CP003488,0.4278039587643238,0.3717241172581588,0.1321266968325792,0.12941176470588237,0.8678733031674208,0.8705882352941177,0.1584,0.3488,0.8416,0.6512
CP003789,0.3668844062178236,0.2449475730934857,0.338389731621937,0.35822637106184363,0.661610268378063,0.6417736289381564,0.2033898305084746,0.3114406779661017,0.7966101694915254,0.6885593220338984
CP005990,0.6433229810222408,0.7705857434949818,0.18181818181818182,0.18181818181818182,0.8181818181818182,0.8181818181818182,0.17391304347826086,0.5217391304347826,0.8260869565217391,0.4782608695652174
CP007446,0.43515517541224646,0.3753514972702181,0.15405405405405406,0.19864864864864865,0.845945945945946,0.8013513513513514,0.43231441048034935,0.6244541484716157,0.5676855895196506,0.37554585152838427
CP009761,0.28960229150273914,0.16897039968783098,0.4971705739692805,0.2667744543249798,0.5028294260307195,0.7332255456750202,0.371868978805395,0.279383429672447,0.628131021194605,0.720616570327553
FP476056,0.4365059363295206,0.4666223368245591,0.2797676669893514,0.3281703775411423,0.7202323330106486,0.6718296224588577,0.5151098901098901,0.40934065934065933,0.4848901098901099,0.5906593406593407
HG793133,0.28343267473662265,0.1622889161569286,0.5109409190371991,0.4912472647702407,0.4890590809628009,0.5087527352297593,0.5454545454545454,0.4409090909090909,0.45454545454545453,0.5590909090909091
